name,handedness,height,weight,avg,HR
Tom Brown,R, 71, 170, 0.0, 0
Denny Lemaster,R, 72, 182, 0.130, 4
Joe Nolan,L, 73, 175, 0.263, 27
Denny Doyle,L, 69, 175, 0.250, 16
Jose Cardenal,R, 70, 150, 0.275, 138
Mike Ryan,R, 74, 205, 0.193, 28
Fritz Peterson,B, 75, 185, 0.159, 2
Dick Bertell,R, 76, 200, 0.250, 10
Rod Kanehl,R, 77, 180, 0.241, 6
Ozzie Osborn,R, 78, 195, 0.0, 0
John LaRose,L, 79, 185, 0.0, 0
Jeff Byrd,R, 80, 195, 0.0, 0
Juan Bonilla,R, 81, 170, 0.256, 7
Frank Tepedino,L, 82, 185, 0.241, 6